ID,Day,Month,Year,Country,Region,End
ID_1,1,1,1997,Botswana,,
ID_2,1,1,1997,Angola,,
ID_3,1,1,1997,Benin,,
ID_4,1,1,1997,Burkina Faso,,
ID_5,1,1,1997,Burundi,,
ID_6,1,1,1997,Cameroon,,
ID_7,1,1,1997,Central African Republic,,
ID_8,1,1,1997,Republic of the Congo,,
ID_9,1,1,1997,Democratic Republic of the Congo,,
ID_10,1,1,1997,Eritrea,,
ID_11,1,1,1997,Ghana,,
ID_12,1,1,1997,Guinea Bissau,,
ID_13,1,1,1997,Ethiopia,,
ID_14,1,1,1997,Kenya,,
ID_15,1,1,1997,Madagascar,,
ID_16,1,1,1997,Malawi,,
ID_17,1,1,1997,Mozambique,,
ID_18,1,1,1997,Namibia,,
ID_19,1,1,1997,Nigeria,,
ID_20,1,1,1997,Senegal,,
ID_21,1,1,1997,South Africa,,
ID_22,1,1,1997,South Sudan,,
ID_23,1,1,1997,Sudan,,
ID_24,1,1,1997,Swaziland,,
ID_25,1,1,1997,United Republic of Tanzania,,
ID_26,1,1,1997,Togo,,
ID_27,1,1,1997,Uganda,,
ID_28,1,1,1997,Zambia,,
ID_29,1,1,1997,Zimbabwe,,
ID_30x,1,11,1997,United States of America,North Carolina,
ID_30,1,6,1998,United States of America,Florida,
ID_31,10,6,1998,United States of America,Georgia,
ID_32,1,9,1999,United States of America,Iowa,
ID_33,10,9,1999,United States of America,Maine,
ID_34,20,9,1999,United States of America,Massachusetts,
ID_35,1,10,1999,United States of America,Minnesota,
ID_36,10,10,1999,United States of America,New Jersey,
ID_37,20,10,1999,United States of America,Ohio,
ID_38,1,11,1999,United States of America,Pennsylvania,
ID_39,10,11,1999,United States of America,South Carolina,
ID_40,20,11,1999,United States of America,Wisconsin,
ID_41,1,5,2000,Egypt,,1000
ID_42,1,9,2000,United States of America,Louisiana,
ID_43,10,9,2000,United States of America,New York,
ID_44,20,9,2000,United States of America,North Dakota,
ID_45,1,10,2000,United States of America,Tennessee,
ID_46,10,10,2000,United States of America,Indiana,
ID_47,20,10,2000,United States of America,Vermont,
ID_48,1,9,2001,United States of America,Maryland,
ID_49,10,9,2001,United States of America,Virginia,
ID_50,20,9,2001,United States of America,Delaware,
ID_51,1,10,2001,United States of America,Illinois,
ID_52,10,10,2001,United States of America,Missouri,
ID_53,20,10,2001,United States of America,Mississippi,
ID_54,1,7,2002,Australia,New South Wales,
ID_55,1,9,2002,United States of America,Arkansas,
ID_56,10,9,2002,United States of America,Alabama,
ID_57,20,9,2002,United States of America,Kentucky,
ID_58,1,10,2002,Canada,Manitoba,3000
ID_59,1,3,2003,Australia,Queensland,
ID_60,1,9,2003,United States of America,West Virginia,
ID_61,1,9,2004,Portugal,,100
ID_62,1,9,2004,United States of America,Arizona,
ID_63,5,9,2004,United States of America,California,
ID_64,10,9,2004,United States of America,Colorado,
ID_65,15,9,2004,United States of America,Connecticut,
ID_66,20,9,2004,United States of America,Idaho,
ID_67,25,9,2004,United States of America,Kansas,
ID_68,1,10,2004,United States of America,Michigan,
ID_69,5,10,2004,United States of America,Montana,
ID_70,10,10,2004,United States of America,Nebraska,
ID_71,15,10,2004,United States of America,Nevada,
ID_72,20,10,2004,United States of America,New Hampshire,
ID_73,25,10,2004,United States of America,New Mexico,
ID_74,1,11,2004,United States of America,Oklahoma,
ID_75,5,11,2004,United States of America,Oregon,
ID_76,10,11,2004,United States of America,Rhode Island,
ID_77,15,11,2004,United States of America,South Dakota,
ID_78,20,11,2004,United States of America,Texas,
ID_79,25,11,2004,United States of America,Utah,
ID_80,1,12,2004,United States of America,Washington,
ID_81,5,12,2004,United States of America,Wyoming,
ID_82,1,9,2005,Jamaica,,
ID_83,1,9,2006,Canada,Alberta,1500
ID_84,1,9,2007,Australia,Western Australia,
ID_85,1,10,2007,Mexico,,
ID_86,1,9,2008,Canada,Quebec,
ID_87,10,9,2008,Canada,Ontario,
ID_88,1,4,2010,United States of America,Hawaii,
ID_89,1,5,2012,Australia,South Australia,
ID_90,1,9,2012,Cuba,,
ID_91,1,9,2013,El Salvador,,
ID_92,1,6,2014,Philippines,,
ID_93,1,9,2014,Italy,,
ID_94,1,2,2014,Nicaragua,,
ID_95,1,3,2015,Brazil,Sao Paulo,
ID_96,1,9,2016,South Korea,,
ID_97,10,9,2016,Costa Rica,,
ID_99,1,10,2017,China,Guangdong,
ID_100,1,9,2018,China,Hainan,
ID_101,1,10,2020,Colombia,,
ID_102,1,8,2020,Guatemala,,
